,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
120,124.0,11.7,83.0,1.55,11.0,18781.0,1558795.0,40.0,245,34.6,5.0,0.03,72.0,635.0,1.3,888,63.0,560.0,1147.0,65.0,0.0,0.0,1.13,8.0,0.9,6.0,1.69,15.0,1.32,100.0,888.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
121,125.0,13.2,134.0,1.37,14.0,61792.0,2533463.0,34.0,198,19.4,,,0.0,0.0,1.1,1073,87.0,929.0,1459.0,26.0,1.67,17.0,0.39,4.0,1.0,,0.37,4.0,1.19,34.0,368.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
122,126.0,80.6,113.0,0.71,1.0,4960.0,19839.0,44.0,20,14.2,0.0,0.0,0.0,0.0,2.1,290,29.0,84.0,2221.0,8.0,44.12,62.0,34.15,48.0,0.0,0.0,0.69,2.0,1.3,100.0,290.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
123,127.0,26.4,119.0,0.45,2.0,6184.0,98947.0,35.0,131,29.2,1.2,0.01,27.0,267.0,2.2,989,34.0,332.0,1595.0,38.0,0.0,0.0,0.67,3.0,0.6,2.0,0.81,8.0,1.08,99.0,975.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
124,128.0,5.2,14.0,0.37,1.0,4005.0,72084.0,48.0,55,20.5,0.0,0.0,46.0,480.0,3.9,1042,51.0,535.0,1104.0,57.0,0.0,0.0,6.7,18.0,0.2,1.0,4.41,46.0,1.3,100.0,1042.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
125,129.0,0.0,0.0,0.21,1.0,,,,71,14.6,100.0,3.04,27.0,235.0,1.8,869,82.0,713.0,2589.0,31.0,0.0,0.0,5.98,29.0,0.1,1.0,0.12,1.0,1.03,95.0,825.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
126,130.0,31.0,1120.0,0.06,2.0,8757.0,52541.0,31.0,125,3.5,0.0,0.0,0.0,0.0,0.2,766,82.0,630.0,3338.0,28.0,1.08,39.0,0.44,16.0,0.3,2.0,0.26,2.0,1.12,0.0,0.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
127,131.0,13.3,36.0,0.37,1.0,,,,42,15.5,0.0,0.0,17.0,136.0,3.0,802,93.0,745.0,1636.0,23.0,0.0,0.0,0.74,2.0,0.9,7.0,0.25,2.0,1.07,22.0,178.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
128,132.0,0.4,1.0,2.65,5.0,8970.0,125585.0,56.0,33,17.5,77.04,1.98,0.0,0.0,1.5,281,99.0,279.0,1233.0,64.0,0.0,0.0,5.3,,0.5,1.0,0.71,2.0,1.19,100.0,281.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
129,133.0,2.6,4.0,3.15,5.0,,,,33,20.8,100.0,4.11,28.0,174.0,3.9,627,39.0,245.0,2481.0,52.0,0.63,1.0,14.5,23.0,0.0,0.0,0.0,0.0,1.14,100.0,627.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
130,134.0,11.7,14.0,0.0,0.0,6537.0,26146.0,27.0,22,19.0,100.0,2.02,100.0,449.0,3.9,449,41.0,185.0,1600.0,35.0,0.0,0.0,1.73,2.0,1.1,2.0,0.0,0.0,1.18,100.0,449.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
131,135.0,4.8,7.0,1.42,2.0,30302.0,515132.0,37.0,57,40.4,100.0,0.71,100.0,555.0,3.9,555,0.0,0.0,,,0.0,0.0,0.0,0.0,2.7,3.0,2.16,12.0,1.0,100.0,555.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
132,136.0,14.1,97.0,0.15,1.0,3968.0,23806.0,38.0,52,7.5,0.0,0.0,3.0,26.0,1.2,821,98.0,808.0,2158.0,15.0,1.16,8.0,1.31,9.0,1.0,8.0,0.12,1.0,1.17,35.0,285.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
133,137.0,20.5,144.0,2.14,15.0,11810.0,708588.0,39.0,89,12.7,0.0,0.0,1.0,6.0,0.8,547,99.0,543.0,1584.0,21.0,0.14,1.0,0.14,1.0,0.9,5.0,0.55,3.0,1.11,8.0,45.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
134,138.0,7.0,36.0,0.2,1.0,17854.0,1231914.0,37.0,121,23.8,0.0,0.0,0.0,0.0,0.5,251,100.0,251.0,1145.0,55.0,0.0,0.0,0.79,4.0,0.0,0.0,2.79,7.0,1.18,100.0,251.0,15.6882743761,15.6882743761,15.6882743761,3.9608426346,3.9608426346,3.0,3.0
135,139.0,19.5,125.0,0.31,2.0,7377.0,206564.0,36.0,55,8.6,0.0,0.0,19.0,125.0,1.0,660,76.0,500.0,1292.0,26.0,0.0,0.0,1.25,8.0,1.8,9.0,1.36,9.0,1.16,100.0,660.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
136,140.0,13.5,141.0,0.38,4.0,20060.0,521560.0,34.0,118,11.3,0.0,0.0,28.0,304.0,1.0,1075,92.0,987.0,1496.0,37.0,0.1,1.0,1.15,12.0,0.7,7.0,1.21,13.0,1.18,67.0,716.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
137,141.0,12.5,85.0,1.03,7.0,25731.0,2701756.0,46.0,191,28.1,10.88,0.32,98.0,335.0,0.5,342,81.0,276.0,1126.0,55.0,0.0,0.0,0.29,2.0,0.8,2.0,2.34,8.0,1.31,100.0,342.0,15.6882743761,15.6882743761,15.6882743761,3.9608426346,3.9608426346,3.0,3.0
138,142.0,1.9,8.0,2.26,,64667.0,1552016.0,26.0,166,37.6,100.0,3.04,100.0,1299.0,2.9,1299,20.0,263.0,1227.0,42.0,1.13,5.0,0.91,4.0,0.2,1.0,0.69,9.0,1.16,100.0,1299.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
139,143.0,1.6,5.0,0.34,1.0,636.0,2544.0,17.0,61,20.8,,,,61.0,2.1,618,57.0,350.0,3172.0,36.0,2.05,6.0,10.59,31.0,0.0,0.0,0.0,0.0,1.05,100.0,616.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
140,144.0,17.2,42.0,4.89,12.0,6307.0,56759.0,39.0,52,21.2,0.0,0.0,52.0,502.0,3.9,966,18.0,171.0,1517.0,29.0,2.04,5.0,2.44,6.0,1.2,2.0,,,1.03,100.0,966.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
141,145.0,14.6,76.0,1.15,6.0,10830.0,75810.0,21.0,78,15.0,0.0,0.0,5.0,35.0,1.2,646,56.0,361.0,1547.0,33.0,0.19,1.0,1.54,8.0,0.6,4.0,,,1.03,60.0,386.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
142,146.0,11.9,52.0,1.38,6.0,29207.0,321279.0,12.0,81,18.6,0.0,0.0,62.0,411.0,1.5,667,91.0,605.0,2026.0,28.0,0.0,0.0,1.15,5.0,0.5,3.0,0.45,3.0,1.15,85.0,564.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
143,147.0,9.7,44.0,0.66,3.0,18675.0,205430.0,31.0,77,16.9,0.0,0.0,25.0,275.0,2.4,1083,47.0,513.0,1699.0,34.0,1.54,7.0,1.32,6.0,1.4,12.0,0.65,7.0,1.05,100.0,1083.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
144,148.0,4.0,24.0,0.67,4.0,6112.0,24449.0,26.0,88,14.7,87.85,0.94,51.0,483.0,1.6,940,67.0,628.0,3049.0,23.0,3.02,18.0,3.35,20.0,0.2,1.0,0.11,1.0,1.08,54.0,505.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
145,149.0,11.4,31.0,3.98,11.0,35267.0,317406.0,15.0,52,18.8,,,36.0,162.0,1.6,448,14.0,62.0,2540.0,23.0,0.0,0.0,0.36,1.0,0.2,1.0,0.0,0.0,1.22,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
146,150.0,8.2,46.0,0.0,0.0,5987.0,41912.0,32.0,43,7.7,0.0,0.0,8.0,55.0,1.2,680,78.0,533.0,1553.0,24.0,0.0,0.0,0.72,4.0,0.6,3.0,1.47,,1.09,45.0,309.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
147,151.0,3.3,17.0,1.49,8.0,5142.0,35996.0,21.0,118,22.0,,,0.0,0.0,2.1,1124,81.0,908.0,2808.0,14.0,2.43,13.0,2.62,14.0,0.1,1.0,0.0,0.0,1.16,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
148,152.0,29.6,176.0,0.0,0.0,1836.0,1836.0,11.0,23,3.9,20.54,1.15,0.0,0.0,0.5,294,99.0,290.0,1838.0,23.0,0.34,2.0,0.67,4.0,0.7,2.0,2.04,6.0,1.11,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
149,153.0,9.2,74.0,1.11,9.0,15879.0,396981.0,14.0,124,15.3,29.69,1.14,19.0,234.0,1.5,1225,100.0,1223.0,2863.0,14.0,0.37,3.0,1.35,11.0,0.2,3.0,0.24,3.0,1.08,35.0,431.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
150,154.0,9.9,73.0,3.56,26.0,12504.0,162551.0,18.0,93,12.7,,,48.0,549.0,1.6,1143,65.0,740.0,2287.0,18.0,0.0,0.0,0.55,4.0,0.0,0.0,0.26,3.0,1.05,83.0,948.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
151,155.0,37.2,463.0,0.64,8.0,9657.0,86913.0,37.0,91,7.3,3.37,0.18,11.0,119.0,0.8,1036,82.0,849.0,1830.0,20.0,1.12,14.0,0.24,3.0,0.8,7.0,0.39,4.0,1.05,0.0,0.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
152,156.0,29.7,332.0,0.18,2.0,8988.0,89881.0,24.0,80,7.2,0.0,0.0,36.0,454.0,1.1,1253,97.0,1221.0,1904.0,15.0,2.6,29.0,1.43,16.0,1.8,22.0,0.72,9.0,1.08,73.0,915.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
153,157.0,6.7,38.0,2.1,12.0,19723.0,2859811.0,54.0,187,32.7,,,0.0,0.0,0.5,288,65.0,188.0,1127.0,71.0,0.17,1.0,1.57,9.0,0.0,0.0,5.21,15.0,1.29,100.0,288.0,,15.6882743761,15.6882743761,,3.9608426346,,3.0
