,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
24,26.0,21.8,246.0,0.09,1.0,3082.0,15410.0,38.0,77,6.8,0.0,0.0,0.0,0.0,0.9,1068,100.0,1068.0,2044.0,22.0,0.97,11.0,0.8,9.0,0.8,9.0,0.0,0.0,1.03,13.0,134.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
25,27.0,6.4,21.0,0.0,0.0,17736.0,70945.0,25.0,55,17.1,0.0,0.0,68.0,674.0,3.1,988,68.0,676.0,1546.0,19.0,0.0,0.0,2.18,7.0,1.2,11.0,0.0,0.0,1.08,90.0,885.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
26,28.0,0.2,0.0,1.55,3.0,95684.0,287052.0,36.0,62,32.0,100.0,1.06,93.0,511.0,2.8,550,48.0,261.0,2986.0,50.0,2.06,4.0,6.7,13.0,0.0,0.0,0.18,1.0,1.31,100.0,550.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
27,29.0,3.2,13.0,0.24,1.0,1066.0,1066.0,15.0,65,15.9,67.95,4.07,0.0,0.0,1.4,565,54.0,306.0,2840.0,33.0,0.24,1.0,2.94,12.0,0.0,0.0,0.18,1.0,1.02,26.0,148.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
28,30.0,3.6,17.0,6.71,32.0,12617.0,1551857.0,53.0,143,30.0,100.0,1.08,52.0,511.0,2.1,987,13.0,129.0,866.0,53.0,8.8,42.0,0.0,0.0,2.5,2.0,1.22,12.0,1.25,100.0,987.0,1.74314159734,1.74314159734,1.74314159734,1.3202808782,1.3202808782,1.0,1.0
29,31.0,1.1,4.0,0.26,1.0,4481.0,8962.0,34.0,74,19.2,100.0,1.84,4.0,28.0,1.8,677,84.0,571.0,3064.0,46.0,0.52,2.0,9.1,35.0,0.1,1.0,0.0,0.0,1.21,62.0,421.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
30,32.0,0.0,0.0,13.82,12.0,42656.0,383905.0,24.0,38,43.8,,,100.0,220.0,2.5,220,0.0,0.0,,,0.0,0.0,0.0,0.0,1.8,4.0,0.0,0.0,1.07,100.0,220.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
31,33.0,15.9,41.0,0.0,0.0,87385.0,699081.0,22.0,67,25.9,,,93.0,587.0,2.4,628,7.0,42.0,1908.0,34.0,0.0,0.0,0.39,1.0,0.0,0.0,0.0,0.0,1.17,100.0,628.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
32,34.0,41.1,382.0,0.54,5.0,36600.0,256199.0,36.0,59,6.4,0.0,0.0,35.0,292.0,0.9,824,83.0,685.0,1305.0,41.0,0.97,9.0,1.08,,2.4,20.0,5.1,42.0,1.13,28.0,228.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
33,35.0,45.0,1025.0,0.18,4.0,21070.0,863864.0,41.0,144,6.3,86.64,2.01,0.0,0.0,0.4,892,90.0,806.0,2130.0,24.0,3.82,87.0,0.83,19.0,0.2,2.0,0.45,4.0,1.27,0.0,0.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
34,36.0,3.9,23.0,0.84,5.0,8811.0,273134.0,26.0,103,17.4,100.0,4.19,32.0,393.0,2.1,1232,64.0,793.0,1947.0,36.0,0.51,3.0,4.55,27.0,0.8,8.0,0.24,3.0,1.1,61.0,753.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
35,37.0,9.7,24.0,0.0,0.0,7347.0,235105.0,69.0,56,23.0,100.0,1.16,4.0,34.0,3.2,774,80.0,619.0,1072.0,63.0,2.47,6.0,12.33,30.0,0.0,0.0,4.39,34.0,1.42,100.0,774.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
36,38.0,13.0,243.0,1.97,37.0,50046.0,5304928.0,24.0,456,24.3,0.0,0.0,26.0,216.0,0.4,841,90.0,757.0,2427.0,25.0,0.0,0.0,0.8,15.0,0.4,3.0,0.48,4.0,1.17,0.0,4.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
37,39.0,16.3,109.0,0.15,1.0,16116.0,80581.0,32.0,78,11.7,27.22,0.49,0.0,0.0,1.4,965,100.0,964.0,1934.0,26.0,1.2,8.0,2.54,17.0,1.2,12.0,0.21,2.0,1.05,5.0,44.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
38,40.0,5.4,19.0,0.29,1.0,17894.0,89468.0,30.0,68,19.5,0.0,0.0,78.0,930.0,3.4,1191,51.0,607.0,1426.0,35.0,5.17,18.0,2.3,8.0,0.9,8.0,2.1,25.0,1.22,100.0,1191.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
39,41.0,3.3,,9.58,30.0,79526.0,159052.0,25.0,49,15.6,0.0,0.0,46.0,354.0,2.5,773,48.0,373.0,1677.0,38.0,0.0,0.0,3.19,,0.4,3.0,0.39,3.0,1.1,100.0,773.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
40,42.0,0.0,0.0,1.14,4.0,1697.0,3393.0,41.0,83,23.6,96.05,2.43,3.0,46.0,3.8,1328,26.0,340.0,3244.0,32.0,0.0,0.0,4.26,15.0,0.1,1.0,0.08,1.0,1.07,68.0,902.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
41,43.0,1.4,5.0,0.28,1.0,22142.0,66425.0,24.0,62,17.3,97.1,3.35,62.0,403.0,1.8,655,60.0,391.0,2982.0,44.0,0.28,1.0,3.07,11.0,0.0,0.0,0.61,4.0,1.15,95.0,625.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
42,44.0,8.5,19.0,0.45,1.0,20967.0,125801.0,25.0,46,20.6,,,0.0,2.0,2.1,473,35.0,164.0,4270.0,26.0,0.45,1.0,3.59,8.0,0.0,0.0,0.0,0.0,1.04,44.0,207.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
43,45.0,35.6,343.0,0.93,9.0,156817.0,470450.0,5.0,138,14.3,0.0,0.0,3.0,39.0,1.2,1180,94.0,1111.0,2848.0,,20.93,202.0,2.8,27.0,0.1,1.0,0.0,0.0,1.27,8.0,99.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
44,46.0,1.2,3.0,1.05,3.0,13024.0,91167.0,22.0,54,18.8,,,35.0,334.0,3.3,956,43.0,411.0,1881.0,28.0,0.0,0.0,0.7,2.0,1.2,5.0,0.21,2.0,1.06,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
45,47.0,1.8,3.0,2.87,4.0,9304.0,65127.0,33.0,55,39.4,100.0,1.1,100.0,639.0,4.6,639,3.0,20.0,3442.0,46.0,0.0,0.0,2.87,4.0,0.0,0.0,0.0,0.0,1.08,100.0,639.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
46,48.0,16.4,311.0,0.32,6.0,21437.0,107184.0,25.0,81,4.3,100.0,3.09,0.0,0.0,0.3,610,83.0,504.0,2008.0,20.0,0.0,0.0,0.47,9.0,1.5,9.0,0.33,2.0,1.18,43.0,260.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
47,49.0,12.6,151.0,0.0,0.0,3602.0,32420.0,48.0,75,6.2,0.0,0.0,0.0,0.0,0.8,974,100.0,970.0,1853.0,29.0,0.0,0.0,0.83,,1.1,,0.1,1.0,1.08,0.0,0.0,1.74314159734,1.74314159734,1.74314159734,1.3202808782,1.3202808782,1.0,1.0
48,50.0,1.2,3.0,4.11,11.0,8284.0,124262.0,39.0,61,22.8,0.0,0.0,69.0,727.0,3.9,1054,39.0,407.0,1517.0,37.0,0.0,0.0,3.74,,1.8,9.0,8.92,94.0,1.11,93.0,976.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
49,51.0,8.4,24.0,2.84,8.0,19382.0,910968.0,60.0,82,29.1,100.0,1.09,0.0,0.0,2.7,765,52.0,399.0,1553.0,63.0,0.35,1.0,7.45,21.0,0.5,3.0,0.65,5.0,1.35,100.0,765.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
50,52.0,3.4,17.0,2.79,14.0,13069.0,954066.0,41.0,128,25.5,,,38.0,207.0,1.1,551,33.0,179.0,1330.0,58.0,0.0,0.0,1.2,6.0,0.0,0.0,1.81,,1.03,100.0,551.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
51,53.0,16.0,70.0,0.92,4.0,20147.0,523818.0,34.0,86,19.7,0.0,0.0,25.0,309.0,2.8,1221,44.0,531.0,1370.0,42.0,0.0,0.0,1.37,6.0,0.4,3.0,1.47,18.0,1.2,100.0,1221.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
52,54.0,32.6,271.0,3.12,26.0,44262.0,929499.0,29.0,101,12.1,0.0,0.0,1.0,5.0,0.7,559,100.0,559.0,1215.0,45.0,0.12,1.0,1.44,12.0,0.5,3.0,3.76,21.0,1.19,95.0,530.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
53,55.0,7.0,39.0,0.54,3.0,17195.0,464261.0,28.0,106,19.2,100.0,1.56,5.0,41.0,1.5,805,85.0,683.0,2161.0,35.0,0.18,1.0,2.71,15.0,0.1,1.0,0.37,3.0,1.12,95.0,764.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
54,56.0,14.2,42.0,2.04,6.0,58378.0,467026.0,22.0,84,28.6,100.0,1.47,96.0,348.0,1.2,364,29.0,105.0,3030.0,37.0,0.0,0.0,4.09,12.0,0.0,0.0,0.55,2.0,1.08,89.0,324.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
55,57.0,9.4,16.0,2.98,5.0,47564.0,428073.0,35.0,78,46.5,,,0.0,0.0,4.0,669,11.0,76.0,1548.0,47.0,0.0,0.0,0.6,1.0,0.7,2.0,0.15,1.0,1.03,100.0,669.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
56,58.0,2.9,6.0,1.37,3.0,8204.0,172279.0,38.0,50,22.9,55.38,1.08,89.0,432.0,2.2,484,53.0,256.0,1877.0,43.0,0.0,0.0,2.29,5.0,0.0,0.0,3.1,15.0,1.17,100.0,484.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
57,59.0,14.8,51.0,0.0,0.0,10650.0,181052.0,39.0,67,19.4,,,61.0,680.0,3.2,1110,34.0,372.0,1543.0,40.0,0.0,0.0,2.61,9.0,1.4,8.0,1.35,15.0,1.15,100.0,1110.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
58,60.0,22.8,183.0,3.37,27.0,24774.0,421163.0,18.0,100,12.5,80.5,2.27,72.0,1000.0,1.7,1383,1.0,7.0,2434.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,6.0,1.23,92.0,1275.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
59,61.0,16.0,48.0,0.66,2.0,52263.0,104526.0,20.0,39,12.9,52.83,0.28,9.0,37.0,1.4,434,64.0,276.0,1751.0,25.0,0.0,0.0,0.66,2.0,0.4,1.0,0.69,3.0,1.12,0.0,0.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
60,62.0,0.0,0.0,0.0,0.0,84368.0,84368.0,38.0,130,44.7,,,0.0,0.0,0.2,64,6.0,4.0,,,0.34,1.0,0.0,0.0,,,0.0,0.0,1.11,100.0,64.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
61,64.0,9.3,35.0,1.83,7.0,17352.0,381741.0,24.0,117,30.7,,,30.0,613.0,5.4,2045,12.0,241.0,1878.0,42.0,0.0,0.0,1.31,5.0,0.7,8.0,0.49,,1.21,100.0,2042.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
62,65.0,38.5,139.0,3.05,11.0,13356.0,93490.0,12.0,57,15.8,100.0,1.91,0.0,0.0,2.6,938,1.0,6.0,1348.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,92.0,860.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
63,66.0,5.3,20.0,7.34,27.0,35032.0,1366259.0,21.0,156,42.4,100.0,1.9,56.0,751.0,3.7,1353,3.0,35.0,2034.0,29.0,0.0,0.0,0.27,1.0,0.4,1.0,0.67,9.0,1.12,100.0,1353.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
64,67.0,38.9,38.0,1.01,1.0,4785.0,38281.0,15.0,31,31.3,,,0.0,0.0,6.5,643,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.0,1.15,100.0,643.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
65,68.0,26.4,334.0,1.42,18.0,40227.0,3942260.0,26.0,301,23.8,100.0,2.0,64.0,729.0,0.9,1132,31.0,345.0,2122.0,21.0,0.0,0.0,0.24,3.0,0.3,2.0,0.18,2.0,1.09,61.0,689.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
66,69.0,1.0,4.0,1.05,4.0,22389.0,201504.0,,66,17.4,100.0,0.26,67.0,482.0,1.9,719,34.0,247.0,4184.0,39.0,0.79,3.0,5.8,22.0,0.0,0.0,0.0,0.0,1.16,94.0,675.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
67,70.0,2.1,6.0,1.69,5.0,9415.0,178890.0,38.0,72,24.3,0.0,0.0,66.0,344.0,1.8,521,100.0,520.0,1199.0,56.0,0.0,0.0,3.72,11.0,0.8,4.0,4.22,22.0,1.32,100.0,521.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
68,71.0,2.9,,0.0,0.0,4666.0,37329.0,41.0,78,22.0,0.0,0.0,60.0,854.0,4.0,1425,15.0,212.0,1737.0,31.0,0.0,0.0,0.56,2.0,0.0,0.0,2.32,33.0,1.12,100.0,1425.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
69,72.0,25.8,300.0,3.35,39.0,54433.0,2395062.0,11.0,226,19.4,0.0,0.0,39.0,443.0,1.0,1128,22.0,246.0,2317.0,22.0,4.64,54.0,0.26,3.0,0.4,2.0,0.18,2.0,1.32,89.0,1007.0,6.97256638936,15.6882743761,11.3304203827,2.6405617564,3.9608426346,2.0,3.0
70,73.0,33.4,1360.0,0.29,12.0,71718.0,3012144.0,30.0,280,6.9,26.87,2.01,2.0,19.0,0.3,1093,94.0,1029.0,1692.0,25.0,0.69,28.0,0.15,6.0,0.9,,0.64,7.0,1.18,0.0,5.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
71,74.0,1.0,2.0,9.5,19.0,58769.0,117537.0,28.0,66,33.0,,,69.0,512.0,3.7,740,23.0,172.0,1468.0,32.0,0.0,0.0,1.0,2.0,0.2,1.0,0.14,1.0,1.04,100.0,740.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
72,75.0,5.7,20.0,1.17,4.0,36598.0,36598.0,12.0,65,18.9,0.0,0.0,89.0,706.0,2.3,795,33.0,262.0,4401.0,15.0,0.87,3.0,4.37,15.0,0.9,7.0,0.13,1.0,1.13,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
73,76.0,19.4,252.0,0.85,11.0,13403.0,120627.0,17.0,102,7.9,0.0,0.0,3.0,36.0,0.9,1154,100.0,1150.0,2497.0,13.0,0.0,0.0,0.38,5.0,0.5,6.0,0.09,1.0,1.12,8.0,88.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
74,77.0,28.1,287.0,0.49,5.0,10911.0,229140.0,16.0,133,13.0,100.0,0.18,59.0,1316.0,2.2,2245,47.0,1052.0,2117.0,13.0,0.0,0.0,0.49,5.0,0.4,5.0,0.04,1.0,1.19,51.0,1134.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
75,78.0,9.3,59.0,3.47,22.0,55684.0,2561479.0,19.0,188,29.6,45.63,3.08,41.0,373.0,1.5,919,47.0,427.0,2553.0,15.0,0.0,0.0,0.32,2.0,0.0,0.0,0.33,3.0,1.17,93.0,858.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
76,79.0,1.9,1.0,0.0,0.0,3079.0,15395.0,26.0,25,34.2,0.0,0.0,100.0,518.0,7.1,518,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.39,2.0,1.0,100.0,518.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
77,80.0,52.7,363.0,1.16,8.0,5250.0,20998.0,19.0,39,5.7,0.0,0.0,0.0,0.0,1.7,1163,2.0,23.0,1634.0,51.0,0.0,0.0,0.0,0.0,2.2,9.0,0.0,0.0,1.27,0.0,0.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
78,81.0,14.0,27.0,2.62,5.0,6955.0,13909.0,13.0,43,22.6,0.0,0.0,56.0,253.0,2.4,454,62.0,280.0,2013.0,21.0,0.0,0.0,1.57,3.0,0.7,3.0,0.0,0.0,1.06,95.0,433.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
79,82.0,26.5,99.0,1.34,5.0,13313.0,146445.0,13.0,80,21.4,100.0,0.79,46.0,524.0,3.0,1134,36.0,410.0,2823.0,12.0,0.27,1.0,1.6,6.0,0.7,5.0,0.18,2.0,1.24,90.0,1022.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
80,83.0,59.7,1432.0,0.04,1.0,52464.0,209854.0,53.0,64,2.7,0.0,0.0,0.0,0.0,0.1,291,78.0,226.0,2147.0,44.0,0.04,1.0,0.38,9.0,0.3,1.0,3.09,9.0,1.02,0.0,0.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
81,84.0,48.5,1205.0,0.12,3.0,24403.0,219629.0,44.0,43,1.7,0.0,0.0,15.0,37.0,0.1,240,95.0,229.0,1537.0,51.0,0.48,12.0,0.0,0.0,0.8,2.0,0.42,1.0,1.16,20.0,48.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
82,85.0,8.6,24.0,0.36,1.0,2691.0,43057.0,65.0,45,16.3,0.0,0.0,37.0,286.0,2.8,769,82.0,634.0,1033.0,58.0,0.0,0.0,4.35,12.0,0.5,3.0,5.46,42.0,1.26,100.0,769.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
83,86.0,1.0,1.0,81.76,81.0,3783.0,45397.0,40.0,39,39.4,100.0,1.0,61.0,678.0,11.3,1116,2.0,23.0,890.0,61.0,0.0,0.0,0.0,0.0,0.5,1.0,2.6,29.0,1.0,100.0,1116.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
84,87.0,2.9,6.0,15.32,30.0,3648.0,65666.0,46.0,46,23.5,,,28.0,190.0,3.5,681,46.0,312.0,1277.0,62.0,6.13,12.0,7.66,15.0,0.0,0.0,1.17,8.0,1.15,100.0,681.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
85,88.0,11.3,48.0,0.93,4.0,12229.0,611473.0,56.0,62,14.4,0.0,0.0,0.0,0.0,1.1,466,100.0,466.0,1007.0,52.0,3.49,15.0,3.72,16.0,1.2,5.0,6.22,29.0,1.21,100.0,466.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
86,89.0,7.4,18.0,0.0,0.0,1402.0,2804.0,29.0,35,14.7,0.0,0.0,41.0,227.0,2.3,549,100.0,549.0,1391.0,35.0,0.0,0.0,2.95,7.0,0.4,2.0,0.73,4.0,1.1,99.0,544.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
87,90.0,3.0,8.0,0.4,1.0,4458.0,98079.0,40.0,51,20.4,,,64.0,529.0,3.3,828,41.0,338.0,1360.0,58.0,0.0,0.0,5.6,14.0,0.6,2.0,2.17,18.0,1.19,100.0,828.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
88,91.0,4.1,12.0,0.35,1.0,1434.0,1434.0,15.0,44,15.6,0.0,0.0,0.0,0.0,3.0,839,83.0,695.0,1508.0,35.0,0.0,0.0,2.48,7.0,1.0,7.0,0.48,4.0,1.07,68.0,568.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
89,92.0,19.8,54.0,5.14,14.0,36760.0,1323374.0,14.0,108,39.7,,,100.0,1344.0,5.0,1344,0.0,2.0,,,0.0,0.0,0.73,2.0,1.5,5.0,0.0,0.0,1.31,100.0,1344.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
90,93.0,25.3,148.0,4.27,25.0,71305.0,2566981.0,27.0,137,23.4,0.0,0.0,99.0,620.0,1.1,624,1.0,4.0,,,0.0,0.0,0.0,0.0,,,0.8,5.0,1.23,100.0,624.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
91,94.0,16.9,111.0,1.68,11.0,42349.0,1566926.0,27.0,131,20.0,0.0,0.0,16.0,60.0,0.6,378,94.0,354.0,1133.0,43.0,0.0,0.0,0.91,6.0,1.1,4.0,1.06,4.0,1.27,95.0,360.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
92,95.0,2.8,12.0,7.69,34.0,66340.0,1990197.0,15.0,136,30.8,,,61.0,413.0,1.5,672,53.0,354.0,1742.0,20.0,0.0,0.0,1.13,5.0,0.3,1.0,0.15,1.0,1.17,65.0,435.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
93,96.0,28.2,202.0,1.67,12.0,26640.0,825852.0,12.0,166,23.1,88.19,2.54,48.0,900.0,2.6,1865,32.0,605.0,1604.0,22.0,5.56,40.0,0.7,5.0,1.0,,0.21,4.0,1.17,97.0,1812.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
94,97.0,4.3,24.0,0.18,1.0,8482.0,25446.0,32.0,89,16.2,28.76,1.76,4.0,66.0,2.9,1556,59.0,915.0,1884.0,24.0,6.01,33.0,1.46,8.0,0.9,,0.06,1.0,1.08,66.0,1022.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
95,98.0,29.0,464.0,0.0,0.0,6090.0,30452.0,43.0,78,4.9,30.8,0.81,1.0,,0.6,977,86.0,840.0,2085.0,16.0,6.55,105.0,0.31,5.0,1.4,14.0,0.1,1.0,1.08,61.0,593.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
96,99.0,3.4,14.0,0.0,0.0,1200.0,1200.0,62.0,72,18.1,,,0.0,0.0,1.6,645,100.0,645.0,1893.0,44.0,0.0,0.0,4.54,18.0,0.3,2.0,0.62,4.0,1.22,95.0,612.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
97,100.0,2.8,20.0,0.56,4.0,15488.0,1347469.0,28.0,149,20.7,,,23.0,161.0,1.0,699,63.0,441.0,1418.0,39.0,0.0,0.0,1.11,8.0,0.5,3.0,2.29,16.0,1.05,100.0,699.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
98,101.0,6.7,8.0,0.79,1.0,3583.0,17915.0,44.0,34,26.9,,,0.0,0.0,5.8,728,12.0,89.0,1292.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,12.0,1.18,100.0,728.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
99,102.0,5.2,,12.18,24.0,3730.0,22377.0,45.0,31,15.7,,,15.0,77.0,2.7,525,61.0,318.0,1210.0,39.0,0.0,0.0,6.6,13.0,0.0,0.0,1.52,8.0,1.02,100.0,525.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
100,103.0,19.6,26.0,2.23,3.0,8506.0,42529.0,30.0,26,19.3,,,0.0,0.0,3.5,480,47.0,227.0,1210.0,17.0,0.0,0.0,0.74,1.0,1.5,7.0,0.83,4.0,1.14,100.0,480.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
101,105.0,5.4,12.0,0.9,2.0,2068.0,2068.0,38.0,57,25.7,100.0,1.32,5.0,40.0,3.5,784,24.0,189.0,1856.0,43.0,76.73,170.0,4.06,9.0,0.0,0.0,0.26,2.0,1.31,94.0,737.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
102,106.0,1.1,2.0,7.9,12.0,17493.0,664734.0,44.0,75,49.4,,,50.0,366.0,4.8,729,5.0,38.0,1501.0,53.0,0.0,0.0,1.98,3.0,0.0,0.0,1.37,,1.12,100.0,729.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
103,107.0,3.1,5.0,1.87,3.0,36869.0,73737.0,19.0,48,30.0,46.28,0.56,62.0,416.0,4.2,675,4.0,25.0,1530.0,58.0,0.0,0.0,0.0,0.0,1.6,4.0,0.3,2.0,1.16,100.0,675.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
104,108.0,17.9,102.0,0.0,0.0,11567.0,277618.0,27.0,69,12.1,56.34,1.2,0.0,0.0,1.0,548,77.0,424.0,1843.0,29.0,0.0,0.0,1.92,11.0,0.2,1.0,,,1.05,60.0,328.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
105,109.0,16.4,204.0,0.24,3.0,13234.0,383795.0,21.0,128,10.3,0.0,0.0,44.0,421.0,0.8,947,60.0,570.0,3386.0,20.0,0.48,6.0,2.89,36.0,0.5,4.0,0.0,0.0,1.11,45.0,422.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
106,110.0,20.1,280.0,0.14,2.0,11904.0,166657.0,26.0,78,5.6,0.0,0.0,33.0,251.0,0.5,761,68.0,518.0,2266.0,28.0,0.14,2.0,0.43,6.0,0.4,2.0,0.13,1.0,1.08,33.0,251.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
