,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
36,38,13.0,243,1.97,37,50046.0,5304928.0,24.0,456,24.3,0.0,0.0,26.0,216.0,0.4,841,90.0,757.0,2427.0,25.0,0.0,0,0.8,15,0.4,3.0,0.48,4.0,1.17,0,4.0,15.6882743761,19.4312434833,17.5597589297,3.9608426346,4.408088416,3.0,2.0
37,39,16.3,109,0.15,1,16116.0,80581.0,32.0,78,11.7,27.22,0.49,0.0,0.0,1.4,965,100.0,964.0,1934.0,26.0,1.2,8,2.54,17,1.2,12.0,0.21,2.0,1.05,5,44.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
38,40,5.4,19,0.29,1,17894.0,89468.0,30.0,68,19.5,0.0,0.0,78.0,930.0,3.4,1191,51.0,607.0,1426.0,35.0,5.17,18,2.3,8,0.9,8.0,2.1,25.0,1.22,100,1191.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
39,41,3.3,10,9.58,30,79526.0,159052.0,25.0,49,15.6,0.0,0.0,46.0,354.0,2.5,773,48.0,373.0,1677.0,38.0,0.0,0,3.19,10,0.4,3.0,0.39,3.0,1.1,100,773.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
40,42,0.0,0,1.14,4,1697.0,3393.0,41.0,83,23.6,96.05,2.43,3.0,46.0,3.8,1328,26.0,340.0,3244.0,32.0,0.0,0,4.26,15,0.1,1.0,0.08,1.0,1.07,68,902.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
41,43,1.4,5,0.28,1,22142.0,66425.0,24.0,62,17.3,97.1,3.35,62.0,403.0,1.8,655,60.0,391.0,2982.0,44.0,0.28,1,3.07,11,0.0,0.0,0.61,4.0,1.15,95,625.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
43,45,35.6,343,0.93,9,156817.0,470450.0,5.0,138,14.3,0.0,0.0,3.0,39.0,1.2,1180,94.0,1111.0,2848.0,10.0,20.93,202,2.8,27,0.1,1.0,0.0,0.0,1.27,8,99.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
45,47,1.8,3,2.87,4,9304.0,65127.0,33.0,55,39.4,100.0,1.1,100.0,639.0,4.6,639,3.0,20.0,3442.0,46.0,0.0,0,2.87,4,0.0,0.0,0.0,0.0,1.08,100,639.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
46,48,16.4,311,0.32,6,21437.0,107184.0,25.0,81,4.3,100.0,3.09,0.0,0.0,0.3,610,83.0,504.0,2008.0,20.0,0.0,0,0.47,9,1.5,9.0,0.33,2.0,1.18,43,260.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
47,49,12.6,151,0.0,0,3602.0,32420.0,48.0,75,6.2,0.0,0.0,0.0,0.0,0.8,974,100.0,970.0,1853.0,29.0,0.0,0,0.83,10,1.1,10.0,0.1,1.0,1.08,0,0.0,1.74314159734,4.85781087082,3.30047623408,1.3202808782,2.204044208,1.0,1.0
48,50,1.2,3,4.11,11,8284.0,124262.0,39.0,61,22.8,0.0,0.0,69.0,727.0,3.9,1054,39.0,407.0,1517.0,37.0,0.0,0,3.74,10,1.8,9.0,8.92,94.0,1.11,93,976.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
49,51,8.4,24,2.84,8,19382.0,910968.0,60.0,82,29.1,100.0,1.09,0.0,0.0,2.7,765,52.0,399.0,1553.0,63.0,0.35,1,7.45,21,0.5,3.0,0.65,5.0,1.35,100,765.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
51,53,16.0,70,0.92,4,20147.0,523818.0,34.0,86,19.7,0.0,0.0,25.0,309.0,2.8,1221,44.0,531.0,1370.0,42.0,0.0,0,1.37,6,0.4,3.0,1.47,18.0,1.2,100,1221.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
52,54,32.6,271,3.12,26,44262.0,929499.0,29.0,101,12.1,0.0,0.0,1.0,5.0,0.7,559,100.0,559.0,1215.0,45.0,0.12,1,1.44,12,0.5,3.0,3.76,21.0,1.19,95,530.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
53,55,7.0,39,0.54,3,17195.0,464261.0,28.0,106,19.2,100.0,1.56,5.0,41.0,1.5,805,85.0,683.0,2161.0,35.0,0.18,1,2.71,15,0.1,1.0,0.37,3.0,1.12,95,764.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
